name,date,diameter_m,velocity_km_s,miss_distance_km,eccentricity,hazardous
(2024 AB4),2024-01-11,36.6471308439,2.9569419414,5710132.880793683,0.0,0
(2024 AE4),2024-01-11,10.7161794798,8.2256760803,1217143.260026574,0.0,0
(2024 AG4),2024-01-11,12.1910181761,11.9675735724,340449.671419485,0.0,0
(2024 AM4),2024-01-11,10.7656431169,3.1953885506,119476.219197204,0.0,0
(2024 BL1),2024-01-11,120.23751136,15.0717383857,23947461.52947642,0.0,0
(2024 BR1),2024-01-11,33.422580561,14.7583174789,4276005.853979006,0.0,0
(2024 BZ15),2024-01-11,31.1917670523,10.4290730005,1773086.329454287,0.0,0
(2024 RZ10),2024-01-11,55.7237042765,14.3525465033,58107182.53465983,0.0,0
438661 (2008 EP6),2024-01-10,847.3054088524,10.7126771692,23088209.21245753,0.0,1
(2008 JG),2024-01-10,403.6825520651,7.7889870854,13409422.802189998,0.0,1
(2009 DT10),2024-01-10,160.7089186045,11.9022731801,25388607.538753625,0.0,0
(2016 AE2),2024-01-10,31.1917670523,14.4660836505,33643285.77579633,0.0,0
(2016 AJ165),2024-01-10,49.435619262,25.2487847439,59178001.978789866,0.0,0
(2016 CB138),2024-01-10,111.6966064835,15.3528835398,48328254.29294878,0.0,0
(2018 AE12),2024-01-10,200.465655659,31.9659323837,32226765.25141727,0.0,0
(2018 BM5),2024-01-10,19.5002410005,7.9454005129,11259952.495355006,0.0,0
(2019 NO3),2024-01-10,755.1617405255,28.0033339753,25617121.21729688,0.0,0
(2021 BV1),2024-01-10,14.7244804171,27.0121668903,29761104.901510064,0.0,0
(2021 XM),2024-01-10,21.5794304844,12.2665322621,26152848.109285977,0.0,0
(2022 BA7),2024-01-10,3.9998156818,7.7198214483,9330198.68951898,0.0,0
(2022 CV2),2024-01-10,149.9822894641,8.7899209008,17987088.961238105,0.0,0
(2016 FH60),2024-01-10,139.9716166857,8.7900951365,17988048.646533944,0.0,0
613986 (2008 JG),2024-01-10,409.2983357621,7.7889862947,13409432.87012665,0.0,1
(2023 XY13),2024-01-10,755.1617405255,40.722578531,54297628.07526628,0.0,0
(2023 XT14),2024-01-10,43.655601735,6.3731701403,4656579.259869913,0.0,0
(2023 XM16),2024-01-10,153.4758257748,16.9147621743,10528582.690803083,0.0,0
(2023 YO1),2024-01-10,38.7293295383,3.0732574044,2606949.344770387,0.0,0
(2024 AN1),2024-01-10,28.7104486255,7.9418474461,1549060.257895721,0.0,0
(2024 AU1),2024-01-10,86.3057992509,18.1464670849,7020037.72590498,0.0,0
(2024 AY2),2024-01-10,24.1012728161,8.3912795578,3199834.875165037,0.0,0
(2024 AC4),2024-01-10,20.7988814142,8.9921006701,2430806.36496419,0.0,0
(2024 AF4),2024-01-10,37.8477423675,6.3173099629,7105603.713281851,0.0,0
(2024 AO4),2024-01-10,112.7301224584,9.2662751121,11700452.145125827,0.0,0
(2024 BA),2024-01-10,37.6738477871,12.4956120821,1454678.183803797,0.0,0
(2024 BQ),2024-01-10,63.1015429636,12.7198676508,2244879.056148939,0.0,0
(2024 BJ1),2024-01-10,104.2413383852,18.9129848357,37033526.57592932,0.0,0
(2024 CF),2024-01-10,371.5694321726,5.0221619521,58687144.75385879,0.0,0
(2024 BT6),2024-01-10,346.7687706198,27.0543803225,65356408.984536655,0.0,0
(2024 HM),2024-01-10,89.9580388169,5.4601729647,39156054.84492964,0.0,0
(2023 MJ20),2024-01-10,4.1499224279,7.7333904813,46953019.63913445,0.0,0
(2024 KE1),2024-01-10,76.5667086792,6.7659179898,57369673.45791991,0.0,0
(2006 AM8),2024-01-15,717.8603705294,39.5920533483,64141071.4605597,0.0,0
(2013 EH89),2024-01-15,547.0663205095,9.4885247624,15343813.244408803,0.0,0
(2015 AK1),2024-01-15,83.1840342251,13.2243090416,6069534.507971988,0.0,0
(2016 PQ8),2024-01-15,225.9643771094,7.7018485032,56229944.68709263,0.0,0
(2019 XK1),2024-01-15,37.5007521798,16.4733771646,68558756.11657175,0.0,0
(2021 GL16),2024-01-15,32.9640055641,5.6562453509,28234939.849628493,0.0,0
(2022 OJ5),2024-01-15,10.0934579665,5.9269680439,22652204.694444254,0.0,0
(2023 QP),2024-01-15,122.4728935923,12.0996710523,62756295.15540103,0.0,0
(2023 RE4),2024-01-15,25.5882142717,5.2599057743,52066045.60691825,0.0,0
(2023 XW14),2024-01-15,310.4845390059,25.8279937996,14754761.353910133,0.0,1
(2023 YP1),2024-01-15,524.8557733779,19.3131551689,23653391.027462404,0.0,0
(2024 AT2),2024-01-15,20.2320541533,8.7384350134,1434550.089591037,0.0,0
(2024 AD3),2024-01-15,387.2932953833,10.3054964737,62450039.08408723,0.0,0
(2024 AN3),2024-01-15,58.0817881978,9.4354524232,9565774.614228766,0.0,0
(2024 BA16),2024-01-15,9.6836699473,8.9427738023,140009.708677877,0.0,0
670011 (2013 EH89),2024-01-15,572.8487618827,9.4885256679,15343807.67936804,0.0,0
(2024 LK1),2024-01-15,92.0534307207,18.5569807144,58648738.04390008,0.0,0
(2013 AG53),2024-01-17,62.2357573367,10.9796585383,47526576.51137383,0.0,0
(2013 BB70),2024-01-17,98.1838321526,11.1951374661,8713577.87131141,0.0,0
(2016 JN6),2024-01-17,39.2681081809,4.8017902068,57312730.86875822,0.0,0
(2020 YA2),2024-01-17,13.6157001539,19.5834740807,66021312.620005235,0.0,0
(2021 AA),2024-01-17,23.8803110188,33.8265522146,59433743.86093331,0.0,0
(2021 NM),2024-01-17,33.7318358913,20.2782351733,73147519.8644905,0.0,0
(2023 BE4),2024-01-17,43.655601735,15.9147881343,10395738.465781827,0.0,0
(2023 CD1),2024-01-17,105.6914798531,12.3523214148,72682987.63105969,0.0,0
(2023 FQ4),2024-01-17,17.866520367,7.2860272498,46622164.651504226,0.0,0
(2023 WY),2024-01-17,291.0985075098,11.0960913703,27943073.058877666,0.0,0
(2024 AV4),2024-01-17,51.0551996437,15.4652377206,3319016.506236637,0.0,0
(2024 BB),2024-01-17,35.3215683399,16.9764923624,4035773.800283979,0.0,0
(2024 BS1),2024-01-17,20.1390963084,16.4272227189,1188438.016816725,0.0,0
(2024 BV4),2024-01-17,130.0289270043,15.877048151,10235839.46597107,0.0,0
42286 (2001 TN41),2024-01-16,2805.6919027157,9.8716047163,72441875.4482161,0.0,0
508767 (1993 BD2),2024-01-16,1361.5700153859,12.8547670552,74157207.33582799,0.0,0
(2010 XY82),2024-01-16,871.043769791,14.9486086174,45063985.40112627,0.0,0
(2012 BN1),2024-01-16,46.7778200408,4.5504081108,10568966.905085748,0.0,0
(2017 FZ2),2024-01-16,28.4472296503,7.5576255394,43006441.98310055,0.0,0
(2019 AC9),2024-01-16,42.46586539,8.7626633043,8383329.09912978,0.0,0
(2021 CZ2),2024-01-16,192.3268766365,14.3571187736,2990606.576113261,0.0,0
(2021 TE3),2024-01-16,14.7244804171,21.0752731141,73336422.57022153,0.0,0
(2022 YF2),2024-01-16,147.2448041708,11.7900275899,20835115.108955838,0.0,0
(2023 BL2),2024-01-16,8.913329856,18.643373735,44168716.42451873,0.0,0
(2024 AU2),2024-01-16,195.0024100049,18.4299804821,14899734.330960149,0.0,0
(2024 AB3),2024-01-16,29.109850751,19.1811094579,2923141.751488946,0.0,0
(2024 AO3),2024-01-16,89.5447191727,10.006071287,23589761.74262702,0.0,0
(2024 AH4),2024-01-16,44.6724713292,8.7922651754,5921972.979138215,0.0,0
(2024 BZ),2024-01-16,20.8948846888,5.5995605147,3888545.919579667,0.0,0
(2024 BH1),2024-01-16,35.1592804749,19.5908993628,2847988.882888313,0.0,0
(2024 CM8),2024-01-16,266.7104172244,18.4585141243,18567342.223093152,0.0,0
(2025 BL),2024-01-16,47.4285643393,6.528619693,6616819.585713664,0.0,0
264357 (2000 AZ93),2024-01-19,346.7687706198,24.0143933935,72841929.27930139,0.0,1
308041 (2004 TN),2024-01-19,950.6923051623,12.1667476725,35395670.82679895,0.0,0
(2008 WL60),2024-01-19,1548.9592010621,10.7400891843,54627067.25369504,0.0,0
(2009 YV6),2024-01-19,399.981568182,8.2932832675,67194176.6608069,0.0,0
(2010 XX72),2024-01-19,230.1653685307,19.9373826873,54861155.63702469,0.0,0
(2012 DK31),2024-01-19,236.6137501138,25.726911328,56199169.90694921,0.0,1
(2016 AU65),2024-01-19,163.696720474,12.4734447139,31960737.229169644,0.0,0
(2016 AW65),2024-01-19,77.2751717118,5.0827711134,19866194.7177297,0.0,0
(2017 RD15),2024-01-19,711.2789870931,9.3905464041,27698332.783611465,0.0,0
(2020 HF),2024-01-19,54.2050786336,18.587857882,51119414.22121745,0.0,0
(2021 BA),2024-01-19,37.5007521798,7.7718164768,14107721.125299318,0.0,0
(2023 WH2),2024-01-19,271.6689340891,6.8607359695,23638713.71116054,0.0,0
(2023 XA8),2024-01-19,172.2027088085,9.7105310355,10353028.34869576,0.0,0
(2024 AP2),2024-01-19,70.4757942143,5.8877746388,1542090.253775829,0.0,0
(2024 AE3),2024-01-19,75.8647408746,7.5212527221,4233297.457268446,0.0,0
(2024 BD),2024-01-19,49.8930414151,22.5088680472,2734991.687601661,0.0,0
(2024 CA4),2024-01-19,47.6474846455,10.4801256714,6254151.354405826,0.0,0
523657 (2012 DJ4),2024-01-18,496.6380371276,4.1615551077,65624920.25662734,0.0,0
(2001 KM20),2024-01-18,98.1838321526,8.0946798094,67109929.91720639,0.0,0
(2004 RQ252),2024-01-18,187.9489824394,11.9060569246,46960953.397612244,0.0,0
(2004 TP1),2024-01-18,430.566244241,9.258607498,33871388.808186434,0.0,1
(2005 MR5),2024-01-18,532.1572444975,20.8293562162,64144518.04588663,0.0,0
(2007 EV),2024-01-18,59.4346868419,8.7950191994,63388576.58175019,0.0,0
(2017 YH),2024-01-18,1412.6675810887,11.6051420663,27297254.40159391,0.0,0
(2019 AM10),2024-01-18,54.2050786336,3.4810896931,17293438.82346713,0.0,0
(2021 CO3),2024-01-18,41.4992242792,11.3368296178,48746443.170704186,0.0,0
